id,true_label,predicted_label
9112.json,1,3
2945.json,4,2
9944.json,5,4
6839.json,2,1
3673.json,2,1
13058.json,5,3
3941.json,3,1
10917.json,1,3
13155.json,1,1
9301.json,0,1
5486.json,3,3
4579.json,1,3
10943.json,5,1
12728.json,1,3
92.json,3,1
11230.json,3,4
2720.json,0,5
582.json,5,5
13227.json,1,1
12052.json,5,1
1010.json,3,3
1333.json,5,4
2603.json,1,4
2731.json,4,3
3434.json,4,3
788.json,4,1
1691.json,3,1
605.json,1,4
6195.json,1,5
1350.json,5,1
7706.json,3,4
12037.json,3,1
8710.json,4,3
960.json,3,5
10544.json,1,1
4391.json,2,3
13186.json,3,4
9692.json,2,1
7401.json,4,4
13405.json,3,5
230.json,5,3
3037.json,3,4
207.json,5,3
3608.json,1,4
3789.json,2,1
7775.json,3,3
12160.json,2,1
12870.json,2,3
10069.json,1,5
3366.json,5,1
10806.json,5,3
9681.json,0,2
1015.json,2,3
13486.json,3,3
8798.json,1,5
2514.json,1,1
10633.json,1,1
10883.json,1,3
13213.json,3,3
5698.json,3,4
11701.json,1,3
2315.json,2,2
4626.json,4,5
11307.json,2,3
11925.json,5,4
4259.json,5,4
5061.json,0,2
4141.json,3,1
4175.json,3,4
9462.json,4,1
3987.json,4,1
293.json,0,5
7728.json,4,4
2117.json,3,1
4825.json,3,1
9516.json,2,1
12834.json,1,1
3980.json,1,1
3231.json,3,4
386.json,4,3
11288.json,3,3
660.json,3,3
1106.json,5,3
2105.json,1,1
446.json,2,1
10271.json,4,4
4866.json,3,3
8419.json,1,1
3136.json,3,1
12093.json,2,4
317.json,5,4
6295.json,0,1
6610.json,4,3
5597.json,5,3
1234.json,1,5
4995.json,5,3
9095.json,0,3
10451.json,3,1
4679.json,3,3
6011.json,4,3
255.json,4,5
3664.json,1,1
11262.json,1,4
9388.json,2,4
12596.json,2,2
8689.json,3,1
13420.json,5,1
11911.json,2,1
5450.json,3,3
2993.json,4,1
3740.json,3,3
12720.json,3,3
1653.json,3,1
3731.json,5,1
8103.json,3,3
1439.json,3,4
5779.json,3,4
10567.json,1,1
10111.json,1,4
11256.json,4,3
10543.json,1,1
7904.json,2,4
4709.json,2,1
8854.json,3,5
4116.json,1,3
5131.json,4,1
11861.json,1,1
9435.json,4,3
12805.json,4,3
9801.json,5,1
2195.json,1,1
11370.json,4,1
9771.json,3,3
3676.json,4,3
4615.json,3,3
7742.json,1,3
2394.json,3,3
817.json,0,2
13051.json,2,5
11345.json,3,4
7387.json,2,3
4400.json,3,3
3541.json,3,4
12187.json,3,1
7340.json,5,4
10355.json,5,4
10467.json,3,4
8089.json,1,1
12526.json,4,1
10898.json,2,2
7541.json,3,4
7136.json,2,3
6325.json,3,3
12855.json,5,4
10512.json,1,3
12336.json,4,1
11726.json,2,3
3904.json,3,3
6774.json,4,3
1324.json,2,1
6813.json,2,2
9737.json,1,5
6366.json,2,2
9316.json,4,1
992.json,4,4
699.json,3,3
9033.json,5,4
5950.json,5,1
10041.json,3,1
5528.json,5,1
8414.json,1,4
4189.json,1,1
9333.json,3,1
9052.json,4,1
12478.json,2,2
1405.json,2,3
3235.json,1,3
1514.json,2,1
6919.json,2,4
9774.json,1,2
5640.json,2,3
9444.json,2,3
12449.json,4,4
4432.json,4,5
5749.json,3,3
8192.json,2,1
7886.json,4,1
9431.json,2,4
7721.json,3,3
2616.json,0,3
2122.json,3,3
1280.json,2,1
2477.json,1,1
6123.json,1,1
7814.json,4,5
901.json,1,3
6720.json,1,3
4628.json,4,3
11303.json,4,5
2986.json,5,1
10783.json,4,4
13350.json,3,3
258.json,5,5
1248.json,4,3
10450.json,3,3
8758.json,3,4
4442.json,3,1
7930.json,5,5
12122.json,4,3
6678.json,5,1
9957.json,0,1
7111.json,2,3
9235.json,0,4
1243.json,1,3
5693.json,1,1
2305.json,5,3
2040.json,2,3
9192.json,5,3
11375.json,5,4
9674.json,4,4
3369.json,3,3
8855.json,4,4
1641.json,1,1
9080.json,5,1
4233.json,4,3
12952.json,2,1
2135.json,1,3
7696.json,2,2
11751.json,4,1
2187.json,1,3
3196.json,1,1
6263.json,3,1
2774.json,3,1
6555.json,5,3
8961.json,3,4
8011.json,5,1
1290.json,2,3
9151.json,5,4
11625.json,4,4
7426.json,0,3
1462.json,4,1
1777.json,5,5
12982.json,3,1
6015.json,1,5
12520.json,5,4
8944.json,4,0
6035.json,3,3
10309.json,4,3
7336.json,2,3
7726.json,1,1
12768.json,4,4
12012.json,4,3
5710.json,1,1
376.json,3,4
4198.json,0,3
4901.json,2,1
7806.json,1,4
12537.json,1,3
3593.json,4,2
9779.json,0,3
8990.json,4,1
3979.json,1,4
10897.json,5,5
4841.json,4,1
2570.json,3,3
4068.json,4,5
12301.json,4,1
7236.json,3,4
6571.json,3,1
2640.json,1,3
13512.json,0,3
166.json,3,4
7329.json,3,4
13385.json,4,1
7827.json,2,3
11670.json,2,5
13029.json,2,1
9937.json,4,1
2811.json,4,4
6333.json,1,4
5124.json,0,1
66.json,5,3
5403.json,4,1
9437.json,3,1
235.json,5,3
793.json,3,4
11080.json,2,4
9489.json,1,1
1444.json,4,5
2484.json,3,1
5836.json,3,1
12.json,1,3
11588.json,1,1
6264.json,2,2
13324.json,4,4
5230.json,5,5
8519.json,1,2
6900.json,3,1
10524.json,5,5
12599.json,5,3
917.json,1,1
8336.json,5,4
6811.json,4,3
7084.json,5,5
7900.json,3,1
9323.json,5,1
1460.json,5,3
7607.json,0,5
1061.json,2,1
12321.json,5,5
6473.json,5,3
12546.json,1,1
2877.json,1,4
9432.json,4,3
7145.json,5,5
2760.json,2,2
6945.json,2,1
4899.json,1,1
10906.json,0,3
3885.json,3,1
11150.json,5,3
6953.json,3,4
5510.json,4,4
3455.json,5,2
10061.json,3,3
9927.json,4,4
2316.json,4,3
11276.json,4,3
1497.json,1,3
4337.json,3,3
4543.json,2,1
5091.json,1,1
40.json,5,2
2852.json,4,3
2506.json,2,1
4212.json,5,5
10474.json,3,4
10117.json,3,3
7877.json,4,3
12051.json,4,4
3957.json,1,2
10893.json,4,3
1623.json,5,3
6428.json,3,3
4287.json,3,2
9793.json,2,4
2910.json,4,1
4653.json,5,1
12279.json,4,4
6982.json,3,4
11802.json,4,3
4609.json,1,1
8115.json,5,4
11296.json,1,3
9093.json,2,3
10799.json,3,3
9383.json,2,1
12009.json,1,1
7223.json,4,5
11118.json,5,1
3381.json,4,1
7244.json,1,5
2581.json,2,2
2958.json,1,3
12179.json,0,3
11373.json,2,1
2114.json,2,1
9588.json,3,2
3430.json,3,3
9364.json,2,3
10695.json,5,5
1158.json,2,5
5848.json,1,4
10561.json,3,1
512.json,5,5
5815.json,2,3
12906.json,3,1
7909.json,5,3
7044.json,2,3
11284.json,3,3
11761.json,5,3
13291.json,3,1
6933.json,3,4
9916.json,4,4
9248.json,5,1
544.json,2,5
3679.json,1,1
11825.json,3,4
7420.json,4,4
2723.json,0,4
5530.json,2,1
4617.json,3,3
4498.json,5,4
2994.json,2,1
1184.json,2,1
11169.json,4,3
8924.json,4,4
3194.json,1,5
985.json,1,2
7379.json,4,5
2926.json,2,3
5283.json,3,3
4204.json,1,1
7288.json,1,5
10223.json,1,1
4526.json,1,3
10493.json,4,3
6812.json,2,1
13214.json,4,4
12662.json,4,1
3933.json,1,1
7268.json,4,5
2717.json,3,4
2252.json,3,1
3029.json,4,5
3471.json,3,1
3710.json,5,5
1855.json,4,1
7771.json,3,1
13409.json,2,3
5101.json,3,3
7356.json,5,4
4568.json,2,3
2099.json,1,5
1849.json,3,1
7790.json,0,1
6320.json,4,3
3500.json,3,1
2460.json,0,1
1948.json,1,1
10739.json,4,1
13020.json,4,3
1119.json,1,3
13128.json,4,4
11050.json,4,3
7195.json,2,2
13047.json,3,3
2560.json,0,1
8463.json,1,5
3458.json,2,4
8352.json,0,1
11847.json,2,3
8170.json,0,1
10293.json,4,1
5314.json,5,4
2625.json,4,2
12749.json,3,1
6905.json,4,4
10672.json,1,5
2217.json,3,5
10232.json,2,1
7230.json,3,3
4993.json,2,1
794.json,3,1
12011.json,3,3
8946.json,5,3
3508.json,0,4
3306.json,3,4
1189.json,4,4
9107.json,5,5
809.json,5,5
171.json,1,2
1739.json,3,1
9047.json,4,3
7685.json,3,1
13490.json,1,3
10962.json,5,3
7845.json,3,3
10388.json,2,3
180.json,1,3
781.json,1,4
12627.json,5,1
2594.json,5,1
7543.json,0,3
7073.json,2,4
12195.json,5,1
13190.json,2,1
7447.json,5,3
9472.json,3,4
12368.json,2,3
5788.json,5,1
6665.json,3,5
10858.json,0,1
3522.json,1,3
6469.json,1,3
13502.json,2,4
9834.json,4,4
7991.json,3,4
7994.json,2,1
10846.json,1,1
8830.json,3,3
6033.json,5,2
700.json,5,3
12214.json,4,4
11661.json,1,3
8986.json,4,1
6922.json,2,2
2738.json,1,3
7416.json,2,1
9101.json,3,4
2494.json,0,3
553.json,1,1
574.json,5,5
1262.json,1,4
9900.json,4,4
1677.json,5,4
575.json,2,4
447.json,1,5
13049.json,1,3
12168.json,3,1
11308.json,3,1
11212.json,4,1
3697.json,4,5
12770.json,5,1
11955.json,1,3
13423.json,1,1
3087.json,0,3
3046.json,4,1
12203.json,3,1
12734.json,2,3
1515.json,3,4
9553.json,1,1
8557.json,5,1
4194.json,4,1
13487.json,2,2
11184.json,1,1
12221.json,4,5
3460.json,3,3
7529.json,1,3
10717.json,3,5
4714.json,1,4
4017.json,4,4
9256.json,1,3
6006.json,1,1
6197.json,2,1
1187.json,4,3
8104.json,4,4
1556.json,5,5
7970.json,1,3
12487.json,2,4
1310.json,1,2
6163.json,1,1
7819.json,5,3
814.json,4,1
8486.json,5,5
12141.json,2,3
3257.json,5,3
3330.json,2,3
6436.json,3,3
70.json,4,1
10140.json,1,1
1120.json,1,1
8595.json,2,2
4885.json,4,5
11917.json,5,3
10773.json,3,1
4718.json,1,4
6616.json,5,1
3284.json,4,3
2290.json,2,1
10978.json,5,1
8764.json,4,5
2203.json,4,3
7118.json,3,4
7164.json,5,3
4208.json,1,4
714.json,4,5
13437.json,2,4
6401.json,4,2
5251.json,4,3
378.json,3,1
5095.json,0,1
11000.json,1,1
3741.json,2,4
8979.json,2,5
3803.json,4,1
12087.json,2,5
1712.json,1,3
1093.json,1,1
3027.json,3,3
4977.json,2,3
4689.json,1,1
9227.json,2,1
12927.json,4,5
3997.json,3,1
13000.json,2,4
11704.json,2,1
11654.json,4,3
340.json,5,1
6485.json,3,3
9231.json,1,5
10416.json,4,4
12924.json,5,3
6816.json,2,1
13172.json,3,1
13484.json,0,1
10869.json,5,1
9823.json,1,3
3738.json,1,3
8552.json,3,1
3044.json,1,1
6121.json,2,1
11261.json,4,4
12392.json,2,2
4522.json,2,1
8285.json,2,4
12244.json,5,1
7667.json,2,4
101.json,2,1
2775.json,5,5
1909.json,3,2
13203.json,1,1
8303.json,3,3
10466.json,2,2
9229.json,3,5
8498.json,4,1
11887.json,5,5
11895.json,2,1
1385.json,3,3
6097.json,4,3
1652.json,3,3
1950.json,0,1
8685.json,5,5
9200.json,1,5
2374.json,1,1
2533.json,3,2
5416.json,5,1
2557.json,1,5
5087.json,1,1
8960.json,4,1
3362.json,1,1
9844.json,1,5
9292.json,3,3
6119.json,2,3
12371.json,5,4
7665.json,5,3
8576.json,5,5
6637.json,1,2
9096.json,4,1
7698.json,5,1
10547.json,5,3
187.json,3,3
2470.json,0,4
6045.json,0,1
339.json,5,1
11004.json,5,5
11337.json,4,1
4250.json,0,2
631.json,0,2
9351.json,0,1
5746.json,5,3
4136.json,3,3
1681.json,2,5
5074.json,4,1
4195.json,2,1
3931.json,2,1
4883.json,5,1
6795.json,2,1
9818.json,2,3
8573.json,3,2
13184.json,4,3
11559.json,4,5
9241.json,5,5
8902.json,4,3
12511.json,1,2
7285.json,0,1
1005.json,0,1
609.json,3,5
9436.json,2,4
5671.json,1,3
6699.json,0,1
7334.json,3,4
9788.json,2,5
10710.json,2,3
3186.json,2,4
6743.json,1,5
